,reward
444,-3.0
445,-201.0
446,-304.0
447,-209.0
448,-208.0
449,-213.0
450,-199.0
451,-619.0
452,1.0
453,-105.0
454,-413.0
455,-97.0
456,-15.0
457,-102.0
458,-4.0
459,-1.0
460,-1.0
461,-1.0
462,-324.0
463,-309.0
464,-207.0
465,-320.0
466,-8.0
467,-101.0
468,-314.0
469,-414.0
470,-114.0
471,-212.0
472,-107.0
473,-405.0
474,-196.0
475,-99.0
476,-98.0
477,-197.0
478,-403.0
479,-209.0
480,-204.0
481,-205.0
482,-406.0
483,-102.0
484,-202.0
485,-401.0
486,-98.0
487,-409.0
488,3.0
489,-308.0
490,-97.0
491,-199.0
492,-510.0
493,3.0
494,-107.0
495,-3.0
496,-937.0
497,-97.0
498,-206.0
499,-111.0
500,-10.0
501,-104.0
502,-399.0
503,1.0
504,-205.0
505,-7.0
506,-213.0
507,-416.0
508,-102.0
509,-603.0
510,-822.0
511,-201.0
512,-301.0
513,-106.0
514,-210.0
515,-115.0
516,-1.0
517,-108.0
518,-210.0
519,-203.0
520,-206.0
521,-8.0
522,-106.0
523,-207.0
524,-100.0
525,-96.0
526,-104.0
527,-103.0
528,-305.0
529,-98.0
530,-721.0
531,-101.0
532,-207.0
533,-5.0
534,-414.0
535,-108.0
536,-302.0
537,-103.0
538,-1.0
539,1.0
540,-116.0
541,-101.0
542,-304.0
543,-2.0
544,-212.0
545,-10.0
546,-112.0
547,-108.0
548,1.0
549,-103.0
550,-203.0
551,-4.0
552,-196.0
553,-3.0
554,-10.0
555,-704.0
556,-1008.0
557,-316.0
558,-401.0
559,-320.0
560,-203.0
561,-425.0
562,1.0
563,3.0
564,-103.0
565,-111.0
566,-99.0
567,-198.0
568,-534.0
569,-100.0
570,-197.0
571,-200.0
572,-5.0
573,-108.0
574,-198.0
575,-10.0
576,-213.0
577,-109.0
578,-202.0
579,-400.0
580,-4.0
581,-124.0
582,-197.0
583,-314.0
584,-108.0
585,2.0
586,0.0
587,-102.0
588,-2.0
589,-104.0
590,-104.0
591,-1.0
592,-207.0
593,-302.0
594,-200.0
595,-99.0
596,-224.0
597,-97.0
598,-105.0
599,-102.0
600,-512.0
601,-101.0
602,-200.0
603,-197.0
604,-200.0
605,-211.0
606,3.0
607,-2.0
608,2.0
609,-101.0
610,-1.0
611,-206.0
612,3.0
613,-200.0
614,-1.0
615,2.0
616,-103.0
617,-323.0
618,-201.0
619,-1.0
620,-303.0
621,3.0
622,-203.0
623,-100.0
624,-108.0
625,0.0
626,-105.0
627,-417.0
628,-103.0
629,-207.0
630,-106.0
631,-102.0
632,-528.0
633,-212.0
634,-204.0
635,-98.0
636,3.0
637,0.0
638,-99.0
639,-1.0
640,-105.0
641,-504.0
642,-101.0
643,3.0
644,-101.0
645,-305.0
646,-511.0
647,-203.0
648,-1.0
649,-308.0
650,-104.0
651,-112.0
652,-204.0
653,-106.0
654,-200.0
655,2.0
656,-102.0
657,-101.0
658,-99.0
659,-100.0
660,-101.0
661,2.0
662,-208.0
663,1.0
664,-734.0
665,-198.0
666,0.0
667,-500.0
668,-200.0
669,2.0
670,-4.0
671,-100.0
672,-4.0
673,-3.0
674,-107.0
675,-97.0
676,-106.0
677,-118.0
678,2.0
679,1.0
680,-105.0
681,-104.0
682,-213.0
683,-205.0
684,-402.0
685,-104.0
686,-195.0
687,-311.0
688,-101.0
689,-3.0
690,-2.0
691,-8.0
692,-4.0
693,-118.0
694,-304.0
695,1.0
696,-101.0
697,-197.0
698,-520.0
699,2.0
700,-109.0
701,-111.0
702,-204.0
703,2.0
704,-300.0
705,1.0
706,-1.0
707,-304.0
708,-203.0
709,-112.0
710,1.0
711,-11.0
712,-413.0
713,-4.0
714,-102.0
715,-2.0
716,-403.0
717,-4.0
718,-205.0
719,3.0
720,-1.0
721,-98.0
722,-7.0
723,-204.0
724,-99.0
725,-301.0
726,-4.0
727,0.0
728,-98.0
729,-299.0
730,-198.0
731,-1.0
732,-203.0
733,-99.0
734,1.0
735,2.0
736,-6.0
737,-208.0
738,-105.0
739,3.0
740,-202.0
741,-208.0
742,-96.0
743,0.0
744,-102.0
745,-8.0
746,-406.0
747,-401.0
748,-99.0
749,-511.0
750,3.0
751,-98.0
752,2.0
753,-98.0
754,-101.0
755,-206.0
756,-4.0
757,-9.0
758,-99.0
759,-105.0
760,-198.0
761,-316.0
762,-103.0
763,-104.0
764,-205.0
765,-11.0
766,-1.0
767,-204.0
768,-99.0
769,-206.0
770,0.0
771,-101.0
772,-403.0
773,-296.0
774,-102.0
775,-96.0
776,-1.0
777,-4.0
778,-6.0
779,-101.0
780,-102.0
781,-305.0
782,-1.0
783,-7.0
