,reward
461,-11.0
462,-3.0
463,-1.0
464,-7.0
465,3.0
466,-31.0
467,1.0
468,1.0
469,-9.0
470,-21.0
471,-1.0
472,-7.0
473,-13.0
474,-33.0
475,-3.0
476,-1.0
477,-3.0
478,1.0
479,-31.0
480,-5.0
481,-9.0
482,-9.0
483,-15.0
484,-31.0
485,3.0
486,-35.0
487,-15.0
488,-13.0
489,-1.0
490,-11.0
491,-9.0
492,-13.0
493,-1.0
494,-9.0
495,3.0
496,-9.0
497,-11.0
498,1.0
499,3.0
500,-15.0
501,-13.0
502,1.0
503,-5.0
504,-5.0
505,-3.0
506,-17.0
507,-5.0
508,-3.0
509,-7.0
510,-3.0
511,-9.0
512,-19.0
513,1.0
514,-5.0
515,-19.0
516,-3.0
517,-7.0
518,-11.0
519,-11.0
520,-15.0
521,-7.0
522,3.0
523,-25.0
524,-1.0
525,-5.0
526,-3.0
527,1.0
528,3.0
529,-37.0
530,-19.0
531,-1.0
532,-5.0
533,-3.0
534,-11.0
535,-5.0
536,-11.0
537,-3.0
538,-3.0
539,-1.0
540,-11.0
541,-1.0
542,-5.0
543,-1.0
544,-13.0
545,-25.0
546,-7.0
547,-17.0
548,-9.0
549,-7.0
550,-1.0
551,-11.0
552,-3.0
553,-3.0
554,-3.0
555,-5.0
556,-1.0
557,-25.0
558,-39.0
559,-11.0
560,-15.0
561,-7.0
562,-17.0
563,-3.0
564,3.0
565,-9.0
566,-25.0
567,-5.0
568,-13.0
569,-17.0
570,-3.0
571,-5.0
572,-7.0
573,1.0
574,-5.0
575,-23.0
576,-9.0
577,-1.0
578,-3.0
579,1.0
580,-25.0
581,-21.0
582,-9.0
583,-7.0
584,3.0
585,-29.0
586,-3.0
587,-3.0
588,-3.0
589,-11.0
590,-1.0
591,-1.0
592,-7.0
593,-29.0
594,-5.0
595,-15.0
596,-11.0
597,-7.0
598,-1.0
599,-7.0
600,-13.0
601,-21.0
602,1.0
603,-7.0
604,-11.0
605,-3.0
606,1.0
607,-9.0
608,-3.0
609,-15.0
610,-11.0
611,-7.0
612,-13.0
613,-5.0
614,-21.0
615,-5.0
616,-13.0
617,-9.0
618,-13.0
619,-11.0
620,-13.0
621,-13.0
622,-3.0
623,-9.0
624,-21.0
625,-27.0
626,-1.0
627,-25.0
628,-35.0
629,-3.0
630,-3.0
631,-11.0
632,-5.0
633,-13.0
634,3.0
635,-3.0
636,1.0
637,3.0
638,1.0
639,-7.0
640,3.0
641,-1.0
642,-1.0
643,-25.0
644,-3.0
645,-9.0
646,-17.0
647,-23.0
648,-11.0
649,1.0
650,-13.0
651,-11.0
652,1.0
653,-1.0
654,-31.0
655,-3.0
656,-1.0
657,-3.0
658,-21.0
659,-1.0
660,-3.0
661,-7.0
662,-3.0
663,-1.0
664,1.0
665,-3.0
666,-5.0
667,-5.0
668,-15.0
669,-17.0
670,3.0
671,1.0
672,-3.0
673,-5.0
674,-1.0
675,-15.0
676,-1.0
677,-21.0
678,-9.0
679,-1.0
680,-3.0
681,-3.0
682,-25.0
683,-3.0
684,-3.0
685,-33.0
686,-1.0
687,3.0
688,-1.0
689,-17.0
690,1.0
691,-9.0
692,3.0
693,-3.0
694,-1.0
695,-1.0
696,-11.0
697,-3.0
698,-25.0
699,-27.0
700,-3.0
701,1.0
702,-15.0
703,-37.0
704,3.0
705,3.0
706,-13.0
707,-5.0
708,-5.0
709,-15.0
710,-9.0
711,-5.0
712,-5.0
713,-1.0
714,-1.0
715,-11.0
716,-7.0
717,-5.0
718,-13.0
719,-17.0
720,3.0
721,-1.0
722,-1.0
723,-9.0
724,-1.0
725,-5.0
726,-15.0
727,-19.0
728,-11.0
729,-13.0
730,3.0
731,1.0
732,-9.0
733,-21.0
734,-31.0
735,-13.0
736,-3.0
737,1.0
738,3.0
739,-31.0
740,-5.0
741,-19.0
742,-3.0
743,-23.0
744,-1.0
745,-25.0
746,-3.0
747,3.0
748,3.0
749,1.0
750,-1.0
751,-21.0
752,-1.0
753,-9.0
754,-15.0
755,-1.0
756,-11.0
757,-19.0
758,-5.0
759,-7.0
760,-7.0
761,-7.0
762,-11.0
763,-1.0
764,-1.0
765,-1.0
766,3.0
767,3.0
768,-3.0
769,-7.0
770,-1.0
771,-1.0
772,-1.0
773,3.0
774,-1.0
775,-9.0
776,-3.0
777,3.0
778,-9.0
779,-11.0
780,1.0
781,-1.0
782,1.0
783,-11.0
784,3.0
785,-7.0
786,-1.0
787,-15.0
788,1.0
789,1.0
790,-11.0
791,3.0
792,-5.0
793,-1.0
794,-3.0
795,-3.0
796,-9.0
797,-3.0
798,1.0
799,-15.0
800,-11.0
801,-7.0
802,1.0
803,-3.0
804,-9.0
805,3.0
806,-13.0
807,3.0
808,1.0
809,1.0
810,-1.0
811,3.0
812,3.0
813,-11.0
814,-7.0
815,1.0
816,-1.0
817,-1.0
818,-11.0
819,3.0
820,-1.0
821,-5.0
822,3.0
823,-1.0
824,3.0
825,-1.0
826,-5.0
827,3.0
828,-9.0
829,-5.0
830,-9.0
831,1.0
832,-7.0
833,-9.0
834,-9.0
835,-1.0
836,3.0
837,-9.0
838,-7.0
839,-19.0
840,1.0
841,3.0
842,-7.0
843,-1.0
844,-13.0
845,-1.0
846,-5.0
847,-15.0
848,-5.0
849,3.0
850,-1.0
851,3.0
852,-7.0
853,-7.0
854,1.0
855,3.0
856,3.0
857,1.0
858,-7.0
859,3.0
860,-9.0
861,3.0
862,3.0
863,1.0
864,3.0
865,-13.0
866,1.0
867,-23.0
868,-5.0
869,-11.0
870,3.0
871,-5.0
872,-13.0
873,1.0
874,3.0
875,-3.0
876,-5.0
877,-3.0
878,-9.0
879,-9.0
880,-1.0
881,-1.0
882,-3.0
883,-15.0
884,-3.0
885,-1.0
886,3.0
887,-15.0
888,1.0
889,-13.0
890,-5.0
891,3.0
892,-11.0
893,-15.0
894,-11.0
895,-7.0
896,-3.0
897,3.0
898,1.0
899,-1.0
900,1.0
901,-3.0
902,3.0
903,3.0
904,-1.0
905,-7.0
906,-5.0
907,-7.0
908,1.0
909,-1.0
910,-1.0
911,-9.0
912,1.0
913,-3.0
914,1.0
915,-1.0
916,3.0
917,1.0
